,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
0,"COOK, DIANE",17706,57,46,249,166
1,"BAYLY, WARWICK",NA,NA,NA,NA,NA
2,"JIANG, GEORGE",NA,NA,NA,NA,NA
3,"WANG, YONG",17371,63,45,205,163
4,"MCHALE, JEANNE",3442,31,20,73,35
5,"GRAMLICH, JEFFREY",NA,NA,NA,NA,NA
6,"HOCH, STEVEN",NA,NA,NA,NA,NA
7,"AHRING, BIRGITTE",22750,79,48,257,182
8,"FRANK, MARCOS",3205,28,22,44,34
9,"WHIDBEE, DAVID",1446,14,10,14,10
10,"MUNSON, CHARLES",1511,15,11,19,13
11,"BANDYOPADHYAY, AMIT",12006,58,47,183,152
12,"BOSE, SUSMITA",11548,58,48,159,141
13,"MELBOURNE, TIMOTHY",NA,NA,NA,NA,NA
14,"VENKATASUBRAMANIAN, VAITHIANATH",NA,NA,NA,NA,NA
15,"FORTENBERY, T",NA,NA,NA,NA,NA
16,"CULLEN, JOHN",11027,42,32,71,53
17,"KRUSE, NORBERT",4071,37,21,110,50
18,"WONG-ON-WING, BERNARD",612,13,8,15,8
19,"PINTAK, LAWRENCE",553,13,12,16,12
20,"SKINNER, MICHAEL",NA,NA,NA,NA,NA
21,"BUTTERFIELD, PATRICIA",1208,18,11,27,12
22,"LEVINE, MARILYN",NA,NA,NA,NA,NA
23,"CALL, DOUGLAS",NA,NA,NA,NA,NA
24,"YOO, CHOONG-SHIK",NA,NA,NA,NA,NA
25,"KNOWLES, NORMAN",NA,NA,NA,NA,NA
26,"HASSOLD, TERRY",NA,NA,NA,NA,NA
27,"HUNT, PATRICIA",NA,NA,NA,NA,NA
28,"ZBIB, HUSSEIN",7407,48,26,138,83
29,"KONKEL, MICHAEL",NA,NA,NA,NA,NA
30,"GUROCAK, HAKAN",NA,NA,NA,NA,NA
31,"COMPEAU, DEBORAH",12388,22,17,30,22
32,"MARSH, THOMAS",1589,17,12,33,21
33,"LIN, YUEHE",40495,104,73,339,284
34,"PINKLETON, BRUCE",3388,33,23,48,36
35,"HOLDER, LAWRENCE",4964,33,18,91,39
36,"MAIN, DOREEN",4635,33,28,51,44
37,"MCCLUSKEY, JILL",5022,36,29,64,56
38,"SCHMALING, KAREN",NA,NA,NA,NA,NA
39,"DUTTA, INDRANATH",3038,28,16,68,31
40,"RUD, ANTHONY",NA,NA,NA,NA,NA
41,"HUNZICKER-DUNN, MARY",NA,NA,NA,NA,NA
42,"ROSENMAN, ROBERT",1263,17,11,32,15
43,"SABERI, ALI",10509,51,30,172,72
44,"BROSCHAT, SHIRA",NA,NA,NA,NA,NA
45,"CHEN, SHULIN",11763,58,49,228,184
46,"POWER, THOMAS",8132,52,31,93,76
47,"AHN, SUNG",NA,NA,NA,NA,NA
48,"JACOBY, PETE",639,14,6,20,2
49,"ALLDREDGE, DALLIN",NA,NA,NA,NA,NA
50,"AVEY, JAMES",12991,32,32,41,40
51,"MAYS, W",NA,NA,NA,NA,NA
52,"GANG, DAVID",6672,42,32,80,73
53,"JOIREMAN, JEFFREY",7326,40,31,56,48
54,"COURT, MICHAEL",5955,45,28,122,80
55,"BEYENAL, HALUK",6472,43,36,100,80
56,"FAIRHURST, DOUGLAS",27,3,3,1,1
57,"COTE, JANE",NA,NA,NA,NA,NA
58,"LAYNE, DESMOND",1908,23,14,40,19
59,"CUSSATT, MARC",8,2,2,0,0
60,"CHEN, LINDA",NA,NA,NA,NA,NA
61,"BAKKEN, DAVID",NA,NA,NA,NA,NA
62,"BOAG, PETER",NA,NA,NA,NA,NA
63,"JI, SHUIWANG",5267,30,27,51,47
64,"PERKINS, ANDREW",722,14,12,15,13
65,"GILL, KULVINDER",NA,NA,NA,NA,NA
66,"TAN, ALEXIS",NA,NA,NA,NA,NA
67,"GURSOY, DOGAN",11576,47,42,87,80
68,"BESSER, THOMAS",NA,NA,NA,NA,NA
69,"HINES, STEPHEN",NA,NA,NA,NA,NA
70,"BARNES, BEAU",NA,NA,NA,NA,NA
71,"SMITH, LLOYD",1114,19,11,36,17
72,"GINN, TIM",6356,34,23,81,57
73,"VANWIE, BERNARD",NA,NA,NA,NA,NA
74,"PANDE, PARTHA",5012,35,25,62,56
75,"JOHNSON, JEAN",6810,34,28,55,45
76,"MEALEY, KATRINA",NA,NA,NA,NA,NA
77,"BENSON, MARGARET",NA,NA,NA,NA,NA
78,"HEO, DEUK",NA,NA,NA,NA,NA
79,"SIMONOV, ANDREY",NA,NA,NA,NA,NA
80,"JONES, JEFFREY",4839,39,18,90,50
81,"ZHU, JIYUE",NA,NA,NA,NA,NA
82,"FRENCH, BRIAN",2242,26,21,44,37
83,"JOHN-MARIADOSS, BABU",529,12,12,15,15
84,"KIRCHHOFF, HELMUT",2035,25,21,34,33
85,"KAHN, MICHAEL",5270,36,14,65,20
86,"XU, LI",NA,NA,NA,NA,NA
87,"MCCRACKEN, VICKI",NA,NA,NA,NA,NA
88,"PAUL, DONNA",283,5,5,5,5
89,"SMITH, DENISE",NA,NA,NA,NA,NA
90,"LIU, SHEEN",NA,NA,NA,NA,NA
91,"DING, JOW-LIAN",776,17,10,26,10
92,"DU, MIN",7464,48,35,139,124
93,"BERKMAN, CLIFFORD",2371,28,19,58,34
94,"WHARTON, AMY",6076,29,20,43,29
95,"BAKER, DANIAL",1721,22,11,40,14
96,"ALDERETE, JOHN",NA,NA,NA,NA,NA
97,"CASAVANT, KENNETH",NA,NA,NA,NA,NA
98,"STINSON, JEFFREY",NA,NA,NA,NA,NA
99,"KANG, CHULHEE",6991,38,23,70,48
100,"JOSHI, KSHITI",NA,NA,NA,NA,NA
101,"ZHONG, WEIHONG",3597,30,22,77,52
102,"ALLISON, THOMAS",317,7,7,6,6
103,"WU, XIAO",NA,NA,NA,NA,NA
104,"BOLL, JAN",2857,29,21,62,43
105,"MCNAMARA, MICHAEL",NA,NA,NA,NA,NA
