,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
300,"ABU-LAIL, NEHAL",2893,22,18,29,27
301,"DAVIS, WILLIAM",NA,NA,NA,NA,NA
302,"ROSE, GREGORY",3654,18,14,21,16
303,"ROBBINS, CHARLES",NA,NA,NA,NA,NA
304,"FIDEL, JANEAN",NA,NA,NA,NA,NA
305,"HABERMAN, MELVIN",NA,NA,NA,NA,NA
306,"DOPPA, JANARDHAN",466,15,13,17,16
307,"MATVEEV, KONSTANTIN",1162,16,13,28,15
308,"DESOUZA, CLEVERSON",NA,NA,NA,NA,NA
309,"SELLON, RANCE",NA,NA,NA,NA,NA
310,"GARNER, PHILIP",3951,32,14,59,21
311,"MARSTON, PHILIP",5968,43,23,142,63
312,"HARRISON, JOHN",4870,25,24,39,34
313,"DEPAEPE, JAMES",NA,NA,NA,NA,NA
314,"ARNAOUDOVA, VENERA",178,8,8,8,8
315,"HA, SU",4305,29,25,39,36
316,"BRADY, MICHAEL",NA,NA,NA,NA,NA
317,"KNOTT, LIBBY",NA,NA,NA,NA,NA
318,"RAJENDRAN, SATHYANARAYANAN",NA,NA,NA,NA,NA
319,"GEE, DAVID",NA,NA,NA,NA,NA
320,"GOODSTEIN, JERRY",NA,NA,NA,NA,NA
321,"KIRK, WILLIAM",NA,NA,NA,NA,NA
323,"BROWN, DAVID",NA,NA,NA,NA,NA
324,"HASAN, SYED",NA,NA,NA,NA,NA
325,"PROBST, TAHIRA",4913,32,27,51,43
326,"BLUME, DOERTE",NA,NA,NA,NA,NA
327,"CARBAUGH, ROBERT",NA,NA,NA,NA,NA
328,"HARSH, JAMES",NA,NA,NA,NA,NA
329,"TSEGAY, GOITOM",NA,NA,NA,NA,NA
330,"WALLACE, SCOTT",NA,NA,NA,NA,NA
331,"KRAMER, MARC",2015,25,22,28,24
332,"NETHERY, VINCENT",NA,NA,NA,NA,NA
333,"BRAVO, JESUS",NA,NA,NA,NA,NA
334,"MARSH, SUSAN",1212,20,16,30,25
335,"WALL, NATHALIE",492,11,9,14,9
336,"ENGELS, PETER",NA,NA,NA,NA,NA
337,"MAZUR, AMY",2678,22,12,39,20
338,"WILSON, THERESA",NA,NA,NA,NA,NA
339,"QUITADAMO, IAN",540,9,8,9,6
340,"RAGLE, CLAUDE",1545,25,12,44,17
341,"MCEWEN, JEAN-SABIN",1136,18,16,29,24
342,"SLAVIT, DAVID",NA,NA,NA,NA,NA
343,"WU, YINGHUI",1178,17,17,23,23
344,"ADESOPE, OLUSOLA",2197,16,16,25,24
345,"MUNSON, DORIS",NA,NA,NA,NA,NA
346,"GATES, GORDON",645,13,9,16,9
347,"ORAGUZIE, NNADOZIE",NA,NA,NA,NA,NA
348,"WENZ, JOHN",NA,NA,NA,NA,NA
349,"GHOSH, KOUSHIK",NA,NA,NA,NA,NA
350,"GOLDBERGER, JESSICA",344,11,9,14,8
351,"JOHANSEN, ANNE",NA,NA,NA,NA,NA
352,"SCHEPMAN, STEPHEN",NA,NA,NA,NA,NA
