Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"COOK, DIANE",17706,57,46,249,166
"BAYLY, WARWICK",NA,NA,NA,NA,NA
"JIANG, GEORGE",NA,NA,NA,NA,NA
"WANG, YONG",17371,63,45,205,163
"MCHALE, JEANNE",3442,31,20,73,35
"GRAMLICH, JEFFREY",NA,NA,NA,NA,NA
"HOCH, STEVEN",NA,NA,NA,NA,NA
"AHRING, BIRGITTE",22750,79,48,257,182
"FRANK, MARCOS",3205,28,22,44,34
"WHIDBEE, DAVID",1446,14,10,14,10
"MUNSON, CHARLES",1511,15,11,19,13
"BANDYOPADHYAY, AMIT",12006,58,47,183,152
"BOSE, SUSMITA",11548,58,48,159,141
"MELBOURNE, TIMOTHY",NA,NA,NA,NA,NA
"VENKATASUBRAMANIAN, VAITHIANATH",NA,NA,NA,NA,NA
"FORTENBERY, T",NA,NA,NA,NA,NA
"CULLEN, JOHN",11027,42,32,71,53
"KRUSE, NORBERT",4071,37,21,110,50
"WONG-ON-WING, BERNARD",612,13,8,15,8
"PINTAK, LAWRENCE",553,13,12,16,12
"SKINNER, MICHAEL",NA,NA,NA,NA,NA
"BUTTERFIELD, PATRICIA",1208,18,11,27,12
"LEVINE, MARILYN",NA,NA,NA,NA,NA
"CALL, DOUGLAS",NA,NA,NA,NA,NA
"YOO, CHOONG-SHIK",NA,NA,NA,NA,NA
"KNOWLES, NORMAN",NA,NA,NA,NA,NA
"HASSOLD, TERRY",NA,NA,NA,NA,NA
"HUNT, PATRICIA",NA,NA,NA,NA,NA
"ZBIB, HUSSEIN",7407,48,26,138,83
"KONKEL, MICHAEL",NA,NA,NA,NA,NA
"GUROCAK, HAKAN",NA,NA,NA,NA,NA
"COMPEAU, DEBORAH",12388,22,17,30,22
"MARSH, THOMAS",1589,17,12,33,21
"LIN, YUEHE",40495,104,73,339,284
"PINKLETON, BRUCE",3388,33,23,48,36
"HOLDER, LAWRENCE",4964,33,18,91,39
"MAIN, DOREEN",4635,33,28,51,44
"MCCLUSKEY, JILL",5022,36,29,64,56
"SCHMALING, KAREN",NA,NA,NA,NA,NA
"DUTTA, INDRANATH",3038,28,16,68,31
"RUD, ANTHONY",NA,NA,NA,NA,NA
"HUNZICKER-DUNN, MARY",NA,NA,NA,NA,NA
"ROSENMAN, ROBERT",1263,17,11,32,15
"SABERI, ALI",10509,51,30,172,72
"BROSCHAT, SHIRA",NA,NA,NA,NA,NA
"CHEN, SHULIN",11763,58,49,228,184
"POWER, THOMAS",8132,52,31,93,76
"AHN, SUNG",NA,NA,NA,NA,NA
"JACOBY, PETE",639,14,6,20,2
"ALLDREDGE, DALLIN",NA,NA,NA,NA,NA
"AVEY, JAMES",12991,32,32,41,40
"MAYS, W",NA,NA,NA,NA,NA
"GANG, DAVID",6672,42,32,80,73
"JOIREMAN, JEFFREY",7326,40,31,56,48
"COURT, MICHAEL",5955,45,28,122,80
"BEYENAL, HALUK",6472,43,36,100,80
"FAIRHURST, DOUGLAS",27,3,3,1,1
"COTE, JANE",NA,NA,NA,NA,NA
"LAYNE, DESMOND",1908,23,14,40,19
"CUSSATT, MARC",8,2,2,0,0
"CHEN, LINDA",NA,NA,NA,NA,NA
"BAKKEN, DAVID",NA,NA,NA,NA,NA
"BOAG, PETER",NA,NA,NA,NA,NA
"JI, SHUIWANG",5267,30,27,51,47
"PERKINS, ANDREW",722,14,12,15,13
"GILL, KULVINDER",NA,NA,NA,NA,NA
"TAN, ALEXIS",NA,NA,NA,NA,NA
"GURSOY, DOGAN",11576,47,42,87,80
"BESSER, THOMAS",NA,NA,NA,NA,NA
"HINES, STEPHEN",NA,NA,NA,NA,NA
"BARNES, BEAU",NA,NA,NA,NA,NA
"SMITH, LLOYD",1114,19,11,36,17
"GINN, TIM",6356,34,23,81,57
"VANWIE, BERNARD",NA,NA,NA,NA,NA
"PANDE, PARTHA",5012,35,25,62,56
"JOHNSON, JEAN",6810,34,28,55,45
"MEALEY, KATRINA",NA,NA,NA,NA,NA
"BENSON, MARGARET",NA,NA,NA,NA,NA
"HEO, DEUK",NA,NA,NA,NA,NA
"SIMONOV, ANDREY",NA,NA,NA,NA,NA
"JONES, JEFFREY",4839,39,18,90,50
"ZHU, JIYUE",NA,NA,NA,NA,NA
"FRENCH, BRIAN",2242,26,21,44,37
"JOHN-MARIADOSS, BABU",529,12,12,15,15
"KIRCHHOFF, HELMUT",2035,25,21,34,33
"KAHN, MICHAEL",5270,36,14,65,20
"XU, LI",NA,NA,NA,NA,NA
"MCCRACKEN, VICKI",NA,NA,NA,NA,NA
"PAUL, DONNA",283,5,5,5,5
"SMITH, DENISE",NA,NA,NA,NA,NA
"LIU, SHEEN",NA,NA,NA,NA,NA
"DING, JOW-LIAN",776,17,10,26,10
"DU, MIN",7464,48,35,139,124
"BERKMAN, CLIFFORD",2371,28,19,58,34
"WHARTON, AMY",6076,29,20,43,29
"BAKER, DANIAL",1721,22,11,40,14
"ALDERETE, JOHN",NA,NA,NA,NA,NA
"CASAVANT, KENNETH",NA,NA,NA,NA,NA
"STINSON, JEFFREY",NA,NA,NA,NA,NA
"KANG, CHULHEE",6991,38,23,70,48
"JOSHI, KSHITI",NA,NA,NA,NA,NA
"ZHONG, WEIHONG",3597,30,22,77,52
"ALLISON, THOMAS",317,7,7,6,6
"WU, XIAO",NA,NA,NA,NA,NA
"BOLL, JAN",2857,29,21,62,43
"MCNAMARA, MICHAEL",NA,NA,NA,NA,NA
"KASIMANICKAM, RAMANATHAN",NA,NA,NA,NA,NA
"PRITCHARD, MARK",NA,NA,NA,NA,NA
"SAHAYM, ARRVVIND",NA,NA,NA,NA,NA
"THOMPSON, JAMES",NA,NA,NA,NA,NA
"EVANS, KATHERINE",NA,NA,NA,NA,NA
"WU, JOAN",NA,NA,NA,NA,NA
"LYON, DREW",NA,NA,NA,NA,NA
"DUTTA, PRASHANTA",3129,31,24,59,47
"FOTOPOULOS, STERGIOS",NA,NA,NA,NA,NA
"WALKER, TERESA",NA,NA,NA,NA,NA
"BOSE, SANTANU",NA,NA,NA,NA,NA
"MILLER, CHADWICK",NA,NA,NA,NA,NA
"FUCHS-LOKENSGARD, RITA",NA,NA,NA,NA,NA
"WALSH, DOUGLAS",NA,NA,NA,NA,NA
"IYENGAR, DEEPAK",NA,NA,NA,NA,NA
"ROY, SANDIP",2842,26,18,68,38
"KIM, KWANHEE",NA,NA,NA,NA,NA
"CLARK, AURORA",1831,27,17,39,29
"MCDONELL, MICHAEL",1035,16,14,24,22
"PAN, WILLIAM",2780,32,18,60,31
"PROVAZNIK, WILLIAM",NA,NA,NA,NA,NA
"MUSACCHI, STEFANO",897,15,11,20,12
"PETERS, R",604,11,11,13,12
"PANAT, RAHUL",NA,NA,NA,NA,NA
"ZHANG, JINWEN",4655,33,27,71,58
"MATTHEW, SUSAN",NA,NA,NA,NA,NA
"RITTER, ROBERT",6423,47,20,107,49
"NEFF, MICHAEL",4859,19,15,23,19
"MCCLOY, JOHN",1183,17,17,42,35
"MARTIN, LINDA",NA,NA,NA,NA,NA
"GEBREMEDHIN, ASSEFAW",1100,19,14,27,19
"HARRINGTON, ROBERT",2087,27,23,44,41
"PEACE, CAMERON",NA,NA,NA,NA,NA
"KNOBLAUCH, MICHAEL",NA,NA,NA,NA,NA
"DELGADO-FRIAS, JOSE",NA,NA,NA,NA,NA
"GARCIA-PEREZ, MANUEL",5078,40,36,79,77
"PAINE, MARY",NA,NA,NA,NA,NA
"CARTER, ARRON",NA,NA,NA,NA,NA
"CLAYTON, CORNELL",1311,17,11,22,12
"ADAM, JENNIFER",5879,17,17,20,20
"DONG, WENJI",1885,25,17,52,31
"FLURY, MARKUS",7898,47,33,93,81
"BRAYTON, KELLY",NA,NA,NA,NA,NA
"PUMPHREY, MICHAEL",2426,24,24,33,32
"SELLON, DEBRA",NA,NA,NA,NA,NA
"EDGECOMBE, MAUREEN",NA,NA,NA,NA,NA
"OATLEY, JON",3396,28,25,38,36
"GUY, STEPHEN",NA,NA,NA,NA,NA
"SISCHO, WILLIAM",NA,NA,NA,NA,NA
"VITHAYATHIL, JOSEPH",NA,NA,NA,NA,NA
"SKILTON, PAUL",602,15,11,17,11
"SALDANHA, TERENCE",133,4,4,4,4
"PAVEK, MARK",NA,NA,NA,NA,NA
"SAYLORS, ROHNY",147,6,6,3,3
"TOOLSON, RICHARD",NA,NA,NA,NA,NA
"MEHRIZI-SANI, ALI",1732,16,14,19,17
"DASGUPTA, NAIRANJANA",1315,19,12,25,13
"BECKMAN, SCOTT",763,14,13,19,15
"AHMED, SALAH-UDDIN",NA,NA,NA,NA,NA
"SHEPPARD, LEAH",529,8,7,7,6
"HOLLEY, ERICA",NA,NA,NA,NA,NA
"LI, QIZHEN",687,14,14,18,15
"WALDEN, VON",1807,23,16,36,28
"EHOFF, CLEMENSE",NA,NA,NA,NA,NA
"CHANDRA, MURALI",NA,NA,NA,NA,NA
"SAVINHAS, ALBERTO",196,6,5,4,4
"PERKINS, ROBERT",NA,NA,NA,NA,NA
"BARBOSA-CANOVAS, GUSTAVO",NA,NA,NA,NA,NA
"SPRUNGER, LESLIE",NA,NA,NA,NA,NA
"KELLER, MARKUS",3465,32,24,56,47
"PAPPU, HANU",NA,NA,NA,NA,NA
"TAYLOR, MATTHEW",3226,28,24,58,47
"BLACKSON, GINNY",NA,NA,NA,NA,NA
"FISCHER, THOMAS",NA,NA,NA,NA,NA
"KRUSE, SHARON",NA,NA,NA,NA,NA
"CHEN-ALLEN, ANNIE",NA,NA,NA,NA,NA
"ZHONG, KE",NA,NA,NA,NA,NA
"PEZESHKI, CHARLES",508,11,6,11,3
"MURPHY, KEVIN",1727,18,16,26,23
"KIM, DAE-WOOK",NA,NA,NA,NA,NA
"SNYDER, WILLIAM",5154,37,29,66,54
"KESSLER, GREGORY",NA,NA,NA,NA,NA
"FRANSSON, BOEL",NA,NA,NA,NA,NA
"WU, KEKE",NA,NA,NA,NA,NA
"NASH, KEN",NA,NA,NA,NA,NA
"HARDING, JOSEPH",NA,NA,NA,NA,NA
"DELGADO, ELVIN",1,1,1,0,0
"BLACK, MARGARET",NA,NA,NA,NA,NA
"WIEST, LORI",NA,NA,NA,NA,NA
"TIBARY, AHMED",NA,NA,NA,NA,NA
"SCHILLINGER, WILLIAM",2421,27,22,51,37
"QIAO, PIZHONG",6059,44,27,118,85
"ROTH-MCDUFFIE, AMY",996,16,12,27,19
"STORFER, ANDREW",6436,37,30,59,50
"SABLANI, SHYAM",11072,42,28,129,99
"HAWRELIAK, JAMES",NA,NA,NA,NA,NA
"WANG, FANG",NA,NA,NA,NA,NA
"MILLER, DARCY",NA,NA,NA,NA,NA
"KUHN, KRISTINE",870,17,11,22,16
"LANGE, BERND",9569,33,27,49,38
"ZHANG, XIAO",NA,NA,NA,NA,NA
"MESAROVIC, SINISA",1634,17,14,29,18
"YADAMA, VIKRAM",496,12,8,17,6
"HOLTFRETER, ROBERT",NA,NA,NA,NA,NA
"CELLI, JEAN",NA,NA,NA,NA,NA
"YANG, BIN",5544,30,28,49,47
"WEBER, TODD",3036,13,12,13,13
"MANDAL, BIDISHA",472,9,9,8,8
"ZACK, RICHARD",NA,NA,NA,NA,NA
"BAYAZIT, OZDEN",NA,NA,NA,NA,NA
"WHITING, MATTHEW",NA,NA,NA,NA,NA
"EAGLE, DAVID",NA,NA,NA,NA,NA
"RODGERS, BUEL",2207,25,18,37,26
"WATTS, RICHARD",NA,NA,NA,NA,NA
"FICKLIN, STEPHEN",1481,16,15,21,19
"SCHIAVENATO, MARTIN",410,6,5,5,3
"DOLAN, JAMES",NA,NA,NA,NA,NA
"INOUE, ATSUSHI",385,10,5,11,2
"MCTIER, BRIAN",NA,NA,NA,NA,NA
"MUNOZ-GARCIA, FELIX",128,6,6,2,2
"TENERELLI, THOMAS",NA,NA,NA,NA,NA
"MURRAY, TIMOTHY",NA,NA,NA,NA,NA
"NEUMILLER, JOSHUA",NA,NA,NA,NA,NA
"MONTGOMERY, AARON",NA,NA,NA,NA,NA
"SKAER, TRACY",2906,29,13,65,18
"KALYANARAMAN, ANANTHARAMAN",NA,NA,NA,NA,NA
"BLATNER, KEITH",1418,21,11,38,13
"HUNDHAUSEN, CHRISTOPHER",2741,25,17,45,27
"NEIBERGS, HOLLY",NA,NA,NA,NA,NA
"JOHNSON, DENNIS",NA,NA,NA,NA,NA
"PARISH, STEVEN",NA,NA,NA,NA,NA
"HOEKSEL, RENEE",NA,NA,NA,NA,NA
"DUBEY, ANAMIKA",198,8,7,8,7
"KMEC, JULIE",1469,17,14,18,16
"SAUNDERS, PETER",NA,NA,NA,NA,NA
"AGUILAR-CARRENO, HECTOR",NA,NA,NA,NA,NA
"CHAYTOR, NAOMI",1491,15,14,17,16
"JIANG, ZHIHUA",NA,NA,NA,NA,NA
"NELSON, O",NA,NA,NA,NA,NA
"CHEN, CHU",NA,NA,NA,NA,NA
"DONG, LEI",NA,NA,NA,NA,NA
"HAHN, ADAM",1129,10,10,10,10
"PRU, JAMES",NA,NA,NA,NA,NA
"SHI, XIANMING",3621,34,30,82,72
"WAYMAN, SUZANNE",NA,NA,NA,NA,NA
"MARTINEZ, STEVEN",NA,NA,NA,NA,NA
"REILLY, PETER",1755,24,12,41,15
"XIAN, MING",5951,40,29,94,77
"LINHART, JEAN",NA,NA,NA,NA,NA
"SCHIMPF, PAUL",NA,NA,NA,NA,NA
"CHEN, MING-HSIANG",1962,17,15,28,25
"LIU, HEPING",3093,26,19,48,36
"LONBORG, SUSAN",NA,NA,NA,NA,NA
"LEI, HANWU",2341,27,25,55,51
"DARATHA, KENN",NA,NA,NA,NA,NA
"BARRINGTON, GEORGE",NA,NA,NA,NA,NA
"CHAI, WEIHANG",1444,17,14,19,17
"FELSOT, ALLAN",2954,28,14,53,17
"LOHR, VIRGINIA",NA,NA,NA,NA,NA
"MCPHERSON, STERLING",637,14,13,22,22
"WARDROP, KATHERINE",NA,NA,NA,NA,NA
"MUKHERJEE, SAYANTANI",NA,NA,NA,NA,NA
"GALLARDO, ROSA",NA,NA,NA,NA,NA
"WILLIAMS, HENRY",NA,NA,NA,NA,NA
"JONES, VINCENT",NA,NA,NA,NA,NA
"VERVOORT, JEFFREY",11484,46,40,116,96
"COUSINS, ASAPH",2191,27,21,40,38
"TROBRIDGE, GRANT",NA,NA,NA,NA,NA
"WISOR, JONATHAN",NA,NA,NA,NA,NA
"INGERMANN, BARBARA",NA,NA,NA,NA,NA
"ESPINOLA-ARREDONDO, ANA",165,8,7,6,5
