REGISTERED NURSE 2,5303
STIPEND GRAD FELLOW - B,3586
STIPEND OTH TRAINEE,2876
LECTURER PART-TIME,2606
LIMITED TERM APPOINTMENT - PROF STAFF,2591
STIPEND GRAD FELLOW - A,2581
RESIDENT,2518
TEMPORARY STAFF - HELPER,2380
PROGRAM COORDINATOR,1856
EXTENSION LECTURER,1798
SENIOR FELLOW,1669
PROJECT APPOINTMENT - OVERTIME EXEMPT,1602
PROGRAM OPERATIONS SPECIALIST,1581
CUSTODIAN,1547
PROFESSOR,1406
SENIOR COMPUTER SPECIALIST,1262
FDA SEIU - PROJECT,1260
RESEARCH ASSOCIATE,1250
FELLOW,1189
RESEARCH STUDY ASSISTANT,1033
PATIENT SERVICES SPECIALIST 2,1028
PROGRAM ASSISTANT,1017
RESEARCH COORDINATOR,955
SENIOR FELLOW--TRAINEE,953
MANAGER OF PROGRAM OPERATIONS,890
ASSOCIATE PROFESSOR,883
TEACHING ASSOCIATE,829
ASSISTANT PROFESSOR,787
RESEARCH SCIENTIST/ENGINEER 2,786
ACTING INSTRUCTOR,774
ASST PROFESSOR WITHOUT TENURE,770
RESEARCH SCIENTIST/ENGINEER 3,764
HOSPITAL ASSISTANT,716
STIPEND GRAD TRAINEE - A,713
DIRECTOR,700
STIPEND GRAD TRAINEE - B,698
MEDICAL ASSISTANT,686
RESEARCH SCIENTIST/ENGINEER 1,677
STIPEND GRAD TRAINEE - C,672
FOOD SERVICE WORKER,662
ASSOC PROFESSOR WITHOUT TENURE,649
OFFICE ASSISTANT 3,603
PROFESSOR WITHOUT TENURE,594
STIPEND UNDERGRADUATE TRAINEE,577
FISCAL SPECIALIST 2,571
COUNSELING SERVICES COORDINATOR,569
RESEARCH SCIENTIST/ENGINEER 4,549
ACTING ASSISTANT PROFESSOR-TEMP,536
PROJECT APPOINTMENT - OVERTIME COVERED,489
PATIENT CARE TECHNICIAN,480
REGISTERED NURSE 3,476
PATIENT SERVICES SPECIALIST 1-TRAINEE,459
ADMINISTRATIVE COORDINATOR,425
FISCAL SPECIALIST 1,413
PUBLIC INFORMATION SPECIALIST,407
ADMINISTRATIVE SPECIALIST,394
STIPEND UGRD G & AID,372
TEMPORARY STAFF A,371
OFFICE ASSISTANT 1,370
CHIEF RESIDENT,365
PHARMACY TECHNICIAN 1,358
RESEARCH STUDY COORDINATOR 1,356
RESEARCH TECHNOLOGIST 1,343
RESEARCH CONSULTANT,329
LABORATORY TECHNICIAN 1,323
CONTACT CENTER REPRESENTATIVE 1,323
VISITING SCIENTIST,320
ASSISTANT DIRECTOR,315
MEDICAL LABORATORY SCIENTIST 1,310
AFFILIATE INSTRUCTOR,307
CLINICAL TECHNOLOGIST 1,301
STIPEND UNDERGRADUATE FELLOW,299
FOOD SERVICE WORKER LEAD,292
