Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"JOHNSON, RONALD",NA,NA,NA,NA,NA
"GE, WEILI",7433,13,11,14,12
"SIEGEL, STEPHAN",1850,15,14,19,18
"JAIN, APURVA",NA,NA,NA,NA,NA
"KOSKI, JENNIFER",NA,NA,NA,NA,NA
"DEMERJIAN, PETER",1010,10,10,10,10
"GILBERT, THOMAS",408,7,7,7,7
"CURTIS, ASHER",242,9,8,9,8
"SCHULZ, FLORIAN",117,3,3,2,2
"BROGAARD, JONATHAN",2525,13,13,13,13
"MAMANI, HAMED",NA,NA,NA,NA,NA
"WESTERFIELD, MARK",940,9,9,9,8
"DUCHIN, RAN",3206,15,15,18,17
"WAGNER, MICHAEL",532,11,10,15,11
"YOGANARASIMHAN, HEMA",342,7,7,7,7
"PATRICK, PAIGE",NA,NA,NA,NA,NA
"QUINN, PHILLIP",NA,NA,NA,NA,NA
"PATEL, SHWETAK",7009,43,34,104,98
"BLACKBURNE, TERRENCE",NA,NA,NA,NA,NA
"SHAIKH, SARAH",NA,NA,NA,NA,NA
"SIRMON, DAVID",11342,24,24,24,24
"TRIPATHY, ARINDAM",562,10,10,10,10
"RUTZ, OLIVER",916,10,10,11,10
"UMPHRESS, ELIZABETH",NA,NA,NA,NA,NA
"HALLEN, BENJAMIN",944,9,9,9,8
"IRAVANI, FOAD",121,4,4,3,3
"PAHNKE, EMILY",NA,NA,NA,NA,NA
"ZHANG, XIA",NA,NA,NA,NA,NA
"BORAH, ABHISHEK",84,4,4,3,3
"SEMINARIO, ANA",NA,NA,NA,NA,NA
"BIGLEY, GREGORY",NA,NA,NA,NA,NA
"BARNES, CHRISTOPHER",2345,26,26,32,32
"HRDLICKA, CHRISTOPHER",108,4,4,4,3
"SAYEDI ROSH KHAR, SEYED",NA,NA,NA,NA,NA
"TAN, DAVID",570,6,6,4,4
"SHUNKO, MARIA",NA,NA,NA,NA,NA
"ROBERTS, FRANK",NA,NA,NA,NA,NA
"ACIKMESE, BEHCET",NA,NA,NA,NA,NA
"ZHANG, CRYSTAL",NA,NA,NA,NA,NA
"SHULMAN, JEFFREY",444,8,8,8,8
"DUNN, LEA",126,3,3,2,2
"HILLIER, MARK",NA,NA,NA,NA,NA
"DEWENTER, KATHRYN",2770,13,8,13,8
"DEMIRKAN, HALUK",3906,23,19,49,35
"GUPTA, ABHINAV",136,5,5,4,4
"POSNER, JONATHAN",3164,29,25,56,46
"PURDY, JILL",1153,11,10,15,10
"CHEN, SHI",2744,26,25,28,28
"HWANG, HYEUNJUNG",NA,NA,NA,NA,NA
"FAN, MING",3549,23,17,27,22
"KNUDSEN, SANNE",NA,NA,NA,NA,NA
"YANG, JIHUI",8538,47,37,113,96
"WU, JIANQING",NA,NA,NA,NA,NA
"CEZE, LUIS",7136,39,32,80,70
"MCCORMACK, SHANNON",NA,NA,NA,NA,NA
"JOSEPH, GAIL",NA,NA,NA,NA,NA
"ZHOU, YONGPIN",1910,20,16,37,23
"BRYAN, DANIEL",NA,NA,NA,NA,NA
"HEER, JEFFREY",12841,53,46,97,83
"HOSSAIN, FAISAL",6758,30,23,75,62
"CHI, DONALD",778,16,16,30,28
"CALO, MICHAEL",NA,NA,NA,NA,NA
"SEOW, GIM",NA,NA,NA,NA,NA
"REYNOLDS, MATTHEW",4121,32,26,73,60
"DOOGAR, RAJIB",639,10,9,10,9
"FEHR, RYAN",1180,12,11,12,11
"SEELIG, GEORG",3389,19,16,24,21
"ZETTLEMOYER, LUKE",5251,37,31,67,59
"SAID, ZAHR",84,5,5,3,3
"SMITH, NOAH",13123,57,46,158,142
"GOODCHILD, ANNE",892,16,12,21,15
"SMITH, JOSHUA",9815,52,42,113,107
"DURAN, BONNIE",6564,33,26,59,44
"ZHANG, ZAOZAO",NA,NA,NA,NA,NA
"ANDERSON, CHRISTOPHER",NA,NA,NA,NA,NA
"FOX, EMILY",2060,23,22,34,33
"OZKAN-SEELY, GULRU",51,3,3,2,2
"BALAZINSKA, MAGDALENA",10964,48,40,92,81
"HONIG, MEREDITH",NA,NA,NA,NA,NA
"REYNOLDS, SCOTT",NA,NA,NA,NA,NA
"FOGARTY, JAMES",4676,37,30,67,61
"THORNOCK, JAKE",NA,NA,NA,NA,NA
"EVANS-CAMPBELL, TERESA",1649,16,13,17,16
"FRITZEN, SCOTT",NA,NA,NA,NA,NA
"AISENBERG, EUGENE",NA,NA,NA,NA,NA
"OH, HYUNG",NA,NA,NA,NA,NA
"XU, XIAODONG",12229,47,41,79,76
"DUVVURI, SRI",NA,NA,NA,NA,NA
"HARDIN, LORNA",NA,NA,NA,NA,NA
"RICE, EDWARD",NA,NA,NA,NA,NA
"WILLS, DOUGLAS",NA,NA,NA,NA,NA
"GHATE, ARCHIS",427,12,10,14,12
"CAO, ZHIYAN",NA,NA,NA,NA,NA
"LENG, FEI",NA,NA,NA,NA,NA
"DAVALOS, SERGIO",NA,NA,NA,NA,NA
"TOWNSEND, MICHAEL",NA,NA,NA,NA,NA
"WITTEN, DANIELA",9201,32,31,52,49
"KIOKO, SHARON",NA,NA,NA,NA,NA
"TRAPIDO, DENIS",NA,NA,NA,NA,NA
"AROLA, DWAYNE",5666,42,35,115,94
"OSKIN, MARK",3427,28,22,52,34
"PATHAK, SURYA",794,10,7,11,6
"MERCHANT, ALTAF",557,13,12,15,15
"DEUTSCH, CURTIS",NA,NA,NA,NA,NA
"COLE, ALLISON",193,7,7,4,4
"WOBBROCK, JACOB",9921,51,43,113,99
"AVILA, SOPHIE",NA,NA,NA,NA,NA
"ERDLY, WILLIAM",NA,NA,NA,NA,NA
"LOWE, CELIA",NA,NA,NA,NA,NA
"HILL, HEATHER",461,14,11,18,12
"JOSEPH, RALINA",NA,NA,NA,NA,NA
"DE CASTRO, ARNOLD",NA,NA,NA,NA,NA
"MASTRANGELO, CHRISTINA",NA,NA,NA,NA,NA
"SHEA-BROWN, ERIC",4072,27,22,47,41
"JINDAL, RUPINDER",229,4,4,4,4
"CHEN, YU-CHIN",NA,NA,NA,NA,NA
"LORIG, MATTHEW",299,10,10,10,10
"MUENCH, STEPHEN",782,14,11,21,12
"MOHAMMED, SELINA",NA,NA,NA,NA,NA
"NORMAN, STEPHEN",43,3,3,1,1
"TORLAK, EMINA",1604,16,14,25,22
"GOLLAKOTA, SHYAMNATH",NA,NA,NA,NA,NA
"PFAENDTNER, WALTER",NA,NA,NA,NA,NA
"BORENSTEIN, ELHANAN",4857,29,26,45,42
"KENNEDY, DEANNA",419,12,12,15,15
"NAM, HYORYUNG",61,2,2,1,1
"BEKEMEIER, ELIZABETH",NA,NA,NA,NA,NA
"FARHADI, ALI",6018,30,28,50,48
"THOMAS, WENDY",3187,28,21,43,39
"SNIADECKI, NATHAN",3254,23,22,28,26
"KAKADE, SHAM",9938,51,42,92,83
"GAO, XIAOHU",19987,47,39,80,73
"MURRAY, SCOTT",3169,28,24,35,35
"BIERER, JULIE",NA,NA,NA,NA,NA
"KRISHNAMURTHY, ARVIND",NA,NA,NA,NA,NA
"MERRIKH, HOURA",552,11,11,12,12
"RICE, KENNETH",18439,61,53,141,125
"RIFFELL, JEFFREY",2446,23,22,33,31
"GUESTRIN, CARLOS",20706,62,45,117,103
"KIRTLEY, ALAN",NA,NA,NA,NA,NA
"PARANJPE, AVINA",NA,NA,NA,NA,NA
"ZANG, DONGSHENG",NA,NA,NA,NA,NA
"BERGER, ARNOLD",NA,NA,NA,NA,NA
"LUCERO, JOSE",NA,NA,NA,NA,NA
"KOHNO, TADAYOSHI",12692,55,45,112,99
"KO, ANDREW",5036,33,27,65,52
"IMAIZUMI, TAKATO",4974,27,25,35,33
"TODOROV, EMANUIL",NA,NA,NA,NA,NA
"KOTSAKIS, GEORGIOS",812,13,13,16,16
"TATLOCK, ZACHARY",639,11,11,14,13
"OVEIS GHARAN, SHAYAN",1084,16,16,18,18
"MININ, VOLODYMYR",NA,NA,NA,NA,NA
"WANG, XI",1240,16,15,17,17
"FAZEL SARJOUI, MARYAM",NA,NA,NA,NA,NA
"QUEITSCH, CHRISTINE",3436,22,20,28,26
"ZHANG, BAOSEN",879,13,13,16,16
"DOGAN, SAMI",NA,NA,NA,NA,NA
"MILLER, JAMES",12784,63,19,204,53
"POZZO, LILO",1224,24,20,37,34
"KERR, KATHLEEN",NA,NA,NA,NA,NA
"LEE, SU-IN",3355,17,16,23,21
"ZHANG, HAI",NA,NA,NA,NA,NA
"BARSNESS, ZOE",NA,NA,NA,NA,NA
