,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
100,"OSKIN, MARK",3427,28,22,52,34
101,"PATHAK, SURYA",794,10,7,11,6
102,"MERCHANT, ALTAF",557,13,12,15,15
103,"DEUTSCH, CURTIS",NA,NA,NA,NA,NA
104,"COLE, ALLISON",193,7,7,4,4
105,"WOBBROCK, JACOB",9921,51,43,113,99
106,"AVILA, SOPHIE",NA,NA,NA,NA,NA
107,"ERDLY, WILLIAM",NA,NA,NA,NA,NA
108,"LOWE, CELIA",NA,NA,NA,NA,NA
109,"HILL, HEATHER",461,14,11,18,12
110,"JOSEPH, RALINA",NA,NA,NA,NA,NA
111,"DE CASTRO, ARNOLD",NA,NA,NA,NA,NA
112,"MASTRANGELO, CHRISTINA",NA,NA,NA,NA,NA
113,"SHEA-BROWN, ERIC",4072,27,22,47,41
114,"JINDAL, RUPINDER",229,4,4,4,4
115,"CHEN, YU-CHIN",NA,NA,NA,NA,NA
116,"LORIG, MATTHEW",299,10,10,10,10
117,"MUENCH, STEPHEN",782,14,11,21,12
118,"MOHAMMED, SELINA",NA,NA,NA,NA,NA
119,"NORMAN, STEPHEN",43,3,3,1,1
120,"TORLAK, EMINA",1604,16,14,25,22
121,"GOLLAKOTA, SHYAMNATH",NA,NA,NA,NA,NA
122,"PFAENDTNER, WALTER",NA,NA,NA,NA,NA
123,"BORENSTEIN, ELHANAN",4857,29,26,45,42
124,"KENNEDY, DEANNA",419,12,12,15,15
125,"NAM, HYORYUNG",61,2,2,1,1
126,"BEKEMEIER, ELIZABETH",NA,NA,NA,NA,NA
127,"FARHADI, ALI",6018,30,28,50,48
128,"THOMAS, WENDY",3187,28,21,43,39
129,"SNIADECKI, NATHAN",3254,23,22,28,26
130,"KAKADE, SHAM",9938,51,42,92,83
131,"GAO, XIAOHU",19987,47,39,80,73
132,"MURRAY, SCOTT",3169,28,24,35,35
133,"BIERER, JULIE",NA,NA,NA,NA,NA
134,"KRISHNAMURTHY, ARVIND",NA,NA,NA,NA,NA
135,"MERRIKH, HOURA",552,11,11,12,12
136,"RICE, KENNETH",18439,61,53,141,125
137,"RIFFELL, JEFFREY",2446,23,22,33,31
138,"GUESTRIN, CARLOS",20706,62,45,117,103
139,"KIRTLEY, ALAN",NA,NA,NA,NA,NA
