,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
600,"BENNER, GREG",2356,23,18,35,31
601,"HERTZOG, NANCY",671,14,10,20,10
602,"GARCIA, ALEJANDRO",NA,NA,NA,NA,NA
603,"NATHANSON, NEIL",NA,NA,NA,NA,NA
604,"HEBERT, MARY",NA,NA,NA,NA,NA
605,"VALENCIA, SHEILA",NA,NA,NA,NA,NA
606,"KELLEY, DEBORAH",NA,NA,NA,NA,NA
607,"TANIMOTO, STEVEN",NA,NA,NA,NA,NA
608,"WOOD, ROBERT",6663,46,36,102,82
609,"FRANKLIN, JERRY",45786,93,57,269,152
610,"BEECHER, MICHAEL",7692,50,23,92,56
611,"BALAKRISHNAN, P",1372,15,10,18,11
612,"HUJOEL, PHILIPPE",NA,NA,NA,NA,NA
613,"LOBER, WILLIAM",NA,NA,NA,NA,NA
614,"KERR, BENJAMIN",3463,23,18,40,33
615,"ZAHORJAN, JOHN",NA,NA,NA,NA,NA
616,"TAYLOR, JANELLE",2179,20,18,28,21
617,"WILKERSON, JOHN",2378,22,18,34,20
618,"COCHRANE, BARBARA",7947,43,34,75,70
619,"NELSON, WENDEL",NA,NA,NA,NA,NA
620,"FUKUDA, MUNEHIRO",NA,NA,NA,NA,NA
621,"SWANSON, WILLIE",7940,45,27,74,64
622,"TURNS, JENNIFER",3487,25,15,47,24
623,"JAROSZ, LUCY",NA,NA,NA,NA,NA
624,"SACHS, JULIAN",4595,36,27,66,58
625,"SPIGNER, CLARENCE",NA,NA,NA,NA,NA
626,"KIM, JEANSOK",15146,52,35,77,67
627,"MUGERAUER, ROBERT",NA,NA,NA,NA,NA
628,"SMITH, HOWARD",NA,NA,NA,NA,NA
629,"THOMAS, REKHA",2214,25,16,43,24
630,"MESCHKE, JOHN",NA,NA,NA,NA,NA
631,"SCHNAPPER, ERIC",NA,NA,NA,NA,NA
632,"INOUE, LURDES",NA,NA,NA,NA,NA
633,"MAGYARY, DIANE",NA,NA,NA,NA,NA
634,"STACEY, ROBIN",NA,NA,NA,NA,NA
635,"BURDZY, KRZYSZTOF",3483,31,19,85,42
636,"LOWES, LAURA",1638,20,18,33,28
637,"BOTHWELL, MARK",14105,61,22,115,56
638,"GRAY, SHELLY",NA,NA,NA,NA,NA
639,"MARSHALL, DONALD",1587,21,10,30,11
640,"TRUPIN, ERIC",NA,NA,NA,NA,NA
641,"BROWN, J",19613,48,32,65,53
642,"YALCH, RICHARD",NA,NA,NA,NA,NA
643,"GREENBAUM, ANNE",NA,NA,NA,NA,NA
644,"SPIEKER, SUSAN",NA,NA,NA,NA,NA
645,"SINGH, PRADEEP",NA,NA,NA,NA,NA
646,"HORN, JOHN",NA,NA,NA,NA,NA
647,"REED, DOROTHY",NA,NA,NA,NA,NA
648,"PERLMAN, MICHAEL",NA,NA,NA,NA,NA
649,"BOYNTON, GEOFFREY",9280,39,30,57,52
650,"TEREDESAI, ANKUR",1261,19,14,31,17
651,"PFAFF, STEVEN",997,15,11,18,12
652,"VEENSTRA, DAVID",16376,51,37,150,116
653,"BRAESTER, YOMI",NA,NA,NA,NA,NA
654,"HARRELL, STEVAN",3586,32,17,57,26
655,"LIN, LIH-YUAN",NA,NA,NA,NA,NA
656,"RODGERS, WILLIAM",NA,NA,NA,NA,NA
657,"BREWER, BONITA",NA,NA,NA,NA,NA
658,"INGEBRITSEN, CHRISTINE",NA,NA,NA,NA,NA
659,"BULGAC, AUREL",NA,NA,NA,NA,NA
660,"MCMILLIN, DIVYA",NA,NA,NA,NA,NA
661,"BUICK, ROGER",NA,NA,NA,NA,NA
662,"HERRENKOHL, TODD",NA,NA,NA,NA,NA
663,"HORNE, JOHN",2463,28,19,58,40
664,"ROEDER, CHARLES",4342,35,23,96,54
665,"FRIEDMAN, CAROLYN",3691,37,23,73,56
666,"HERMANSON, JAMES",NA,NA,NA,NA,NA
667,"COBDEN, DAVID",9833,34,26,53,37
668,"MCCORMICK, WAYNE",NA,NA,NA,NA,NA
669,"SUMMERS, ADAM",2616,30,21,65,46
670,"WANG, JOANNE",NA,NA,NA,NA,NA
671,"STOVEL, KATHERINE",2371,17,14,20,14
672,"WADDINGTON, EDWIN",NA,NA,NA,NA,NA
673,"PEKKANEN, SAADIA",NA,NA,NA,NA,NA
674,"THOMAS, JAMES",7098,45,28,102,73
675,"GOMULKIEWICZ, ROBERT",NA,NA,NA,NA,NA
676,"ANDERSON, SCOTT",NA,NA,NA,NA,NA
677,"DETWILER, PETER",NA,NA,NA,NA,NA
678,"DIKMEN, SUREYYA",NA,NA,NA,NA,NA
679,"BITZ, CECILIA",12476,53,39,88,82
680,"WILLGERODT, MAYUMI",NA,NA,NA,NA,NA
681,"ZACHRY, MARK",NA,NA,NA,NA,NA
682,"HARRINGTON, JAMES",943,13,8,23,6
683,"JONAS, RAYMOND",NA,NA,NA,NA,NA
684,"HERRING, SUSAN",6711,45,25,113,58
685,"SMITH, HART",1722,21,16,29,18
686,"MCCUNE, JEANNINE",NA,NA,NA,NA,NA
687,"GEIST, ANTHONY",NA,NA,NA,NA,NA
688,"NEMHAUSER, JENNIFER",4867,30,25,45,39
689,"NOLEN, SUSAN",NA,NA,NA,NA,NA
690,"JOHNSON, PETER",2530,29,23,56,42
691,"CHAOVALITWONGSE, WANPRACHA",NA,NA,NA,NA,NA
692,"ZEICHNER, KENNETH",NA,NA,NA,NA,NA
693,"DEMING, JODY",NA,NA,NA,NA,NA
694,"KUMAR, VIPIN",NA,NA,NA,NA,NA
695,"MITCHELL, STEPHEN",NA,NA,NA,NA,NA
696,"GLENN, SUSAN",NA,NA,NA,NA,NA
697,"GRAY, RICHARD",NA,NA,NA,NA,NA
698,"GUERRA, JUAN",831,13,11,15,11
699,"HERON, PAULA",NA,NA,NA,NA,NA
700,"ZHANG, JIAN",NA,NA,NA,NA,NA
701,"GAY, GENEVA",NA,NA,NA,NA,NA
702,"RUESINK, JENNIFER",NA,NA,NA,NA,NA
703,"KUROSAKA, MITSURU",NA,NA,NA,NA,NA
704,"KISER, EDGAR",NA,NA,NA,NA,NA
705,"STORTI, DUANE",NA,NA,NA,NA,NA
706,"DE LA IGLESIA, HORACIO",3170,31,23,48,38
707,"LIEBLICH, MAX",688,11,10,14,11
708,"ELLIS, JOHN",NA,NA,NA,NA,NA
709,"REED, BRIAN",1079,11,8,13,8
710,"MCMURTRIE, JACQUELINE",NA,NA,NA,NA,NA
711,"MATSUEDA, ROSS",5414,25,23,35,30
712,"SHEN, QING",2919,28,21,41,33
713,"SHIELDS, DAVID",NA,NA,NA,NA,NA
714,"HOU, JEFFREY",746,10,10,11,10
715,"HERRENKOHL, LESLIE",NA,NA,NA,NA,NA
716,"BOOTH-LAFORCE, CATHRYN",NA,NA,NA,NA,NA
717,"SPYRIDAKIS, JAN",NA,NA,NA,NA,NA
718,"GANTER, MARK",NA,NA,NA,NA,NA
719,"HILLE RIS LAMBERS, JANNEKE",6567,32,30,44,44
720,"QUAY, PAUL",NA,NA,NA,NA,NA
721,"TENENBERG, JOSH",2373,25,12,37,18
722,"CHEN, SSU-KUANG",NA,NA,NA,NA,NA
723,"HAUCK, SCOTT",10912,45,23,101,48
724,"PORTIN, BRADLEY",NA,NA,NA,NA,NA
725,"KLAWITTER, MARIEKA",956,15,7,21,5
726,"SIMPSON, CHRISTOPHER",3346,25,18,48,39
727,"OZUBKO, CHRISTOPHER",NA,NA,NA,NA,NA
728,"KNOPP, LAWRENCE",NA,NA,NA,NA,NA
729,"SHAFFER, PETER",NA,NA,NA,NA,NA
730,"CHEN, ZHEN-QING",4960,37,26,107,77
731,"BASSINGTHWAIGHTE, JAMES",NA,NA,NA,NA,NA
732,"ROSENTHAL, MICHAEL",NA,NA,NA,NA,NA
