,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
800,"DOLSAK, NIVES",2785,14,14,15,14
801,"BORCH-JACOBSEN, MIKKEL",NA,NA,NA,NA,NA
802,"MONTINE, THOMAS",NA,NA,NA,NA,NA
803,"LEE, JOHN",25,1,1,1,1
804,"SHERK, HELEN",NA,NA,NA,NA,NA
805,"TAMIMI, HISHAM",4157,39,16,60,28
806,"HOUSTON, HEIDI",NA,NA,NA,NA,NA
807,"MEYERS, MARCIA",7509,34,24,60,38
808,"VAVILALA, MONICA",NA,NA,NA,NA,NA
809,"BERGANTZ, GEORGE",3521,31,24,44,31
810,"VITALIANO, PETER",16159,63,32,111,72
811,"CURTIS-NEWTON, VALERIE",NA,NA,NA,NA,NA
812,"DREVDAHL, DENISE",NA,NA,NA,NA,NA
813,"SPIVAK, BORIS",NA,NA,NA,NA,NA
814,"BENDER, EMILY",3383,24,14,40,21
815,"DAVIS, SCOTT",NA,NA,NA,NA,NA
816,"WEYMULLER, ERNEST",NA,NA,NA,NA,NA
817,"DZIWIREK, KATARZYNA",NA,NA,NA,NA,NA
818,"ENGLAND, KIM",3744,26,16,38,27
819,"WARNER, GARTH",NA,NA,NA,NA,NA
820,"BROWN, MARIE",NA,NA,NA,NA,NA
821,"EADIE, TANYA",1626,22,19,35,31
822,"WARD, PETER",NA,NA,NA,NA,NA
823,"WILKE, SABINE",NA,NA,NA,NA,NA
824,"GREER, BENJAMIN",NA,NA,NA,NA,NA
825,"SUN, MING-TING",8864,49,25,143,62
826,"HANDWERK, GARY",NA,NA,NA,NA,NA
827,"NAISH, KERRY-ANN",NA,NA,NA,NA,NA
828,"CECCARELLI, LEAH",891,11,8,12,8
829,"CLAUSS, JAMES",NA,NA,NA,NA,NA
830,"SASAKI, TOMIKAZU",NA,NA,NA,NA,NA
831,"WILEY, HANNAH",NA,NA,NA,NA,NA
832,"YEE, SHIRLEY",NA,NA,NA,NA,NA
833,"CHRISMAN, LAURA",NA,NA,NA,NA,NA
834,"BAUER, LARRY",NA,NA,NA,NA,NA
835,"ALLEN, CAROLYN",NA,NA,NA,NA,NA
